	Word	PoS	Freq
	corner	NoC	75
	image	NoC	75
	edge	NoC	75
	sister	NoC	75
	politics	NoC	75
	expression	NoC	75
	instead	Adv	75
	impact	NoC	74
	quarter	NoC	74
	forced	Verb	74
	inside	Prep	74
	views	NoC	74
	scale	NoC	74
	plant	NoC	74
	race	NoC	74
	ball	NoC	74
	gold	NoC	74
	join	Verb	74
	Henry	NoP	74
	spend	Verb	74
	voice	Verb	74
	alone	Adv	74
	additional	Adj	74
	benefits	NoC	74
	1985	Num	74
	trust	NoC	74
	for instance	Adv	74
	largely	Adv	73
	advantage	NoC	73
	associated	Verb	73
	increased	Verb	73
	standing	Verb	73
	dad	NoC	73
	foot	NoC	73
	somebody	Pron	73
	pain	NoC	73
	gas	NoC	73
	S / s	Lett	73
	clothes	NoC	73
	smaller	Adj	73
	as to	Prep	73
	aspects	NoC	73
	active	Adj	73
	affairs	NoC	73
	possibly	Adv	73
	increase	Verb	73
	railway	NoC	73
	ended	Verb	73
	feeling	NoC	73
	network	NoC	72
	leaders	NoC	72
	nevertheless	Adv	72
	cause	NoC	72
	half	NoC	72
	powerful	Adj	72
	step	NoC	72
	complex	Adj	72
	joined	Verb	72
	plants	NoC	72
	standard	Adj	72
	holding	Verb	72
	carefully	Adv	72
	length	NoC	72
	instead of	Prep	72
	mind	Verb	72
	rise	NoC	72
	strength	NoC	72
	crime	NoC	72
	D / d	Lett	71
	hard	Adv	71
	wind	NoC	71
	Mary	NoP	71
	possibility	NoC	71
	becoming	Verb	71
	damage	NoC	71
	records	NoC	71
	reduce	Verb	71
	examples	NoC	71
	mainly	Adv	71
	credit	NoC	71
	winter	NoC	71
	impossible	Adj	71
	insurance	NoC	71
	explained	Verb	71
	units	NoC	71
	currently	Adv	70
	forest	NoC	70
	formed	Verb	70
	somewhere	Adv	70
	earlier	Adj	70
	beginning	NoC	70
	regarded	Verb	70
	fall	Verb	70
	confidence	NoC	70
	discussed	Verb	70
	speed	NoC	70
	legislation	NoC	70
	mentioned	Verb	70
	along	Adv	70
	pulled	Verb	70
	spoke	Verb	70
	debate	NoC	70
	intended	Verb	70
	bodies	NoC	70
	message	NoC	70
	middle	Adj	70
	plus	Prep	70
	supply	NoC	69
	100	Num	69
	sexual	Adj	69
	skin	NoC	69
	Edward	NoP	69
	stuff	NoC	69
	providing	Verb	69
	entirely	Adv	69
	front	Adj	69
	domestic	Adj	69
	require	Verb	69
	proved	Verb	69
	expressed	Verb	69
	treated	Verb	69
	match	NoC	69
	solution	NoC	69
	previously	Adv	69
	tonight	Adv	69
	patient	NoC	69
	actual	Adj	68
	difficulties	NoC	68
	farm	NoC	68
	united	Adj	68
	far	Adj	68
	build	Verb	68
	reach	Verb	68
	proposals	NoC	68
	extremely	Adv	68
	choose	Verb	68
	ministers	NoC	68
	technical	Adj	68
	fresh	Adj	68
	ordinary	Adj	68
	scene	NoC	68
	materials	NoC	68
	museum	NoC	68
	Thomas	NoP	68
	move	NoC	68
	article	NoC	68
	prevent	Verb	68
	achieve	Verb	68
	customers	NoC	68
	includes	Verb	68
	powers	NoC	68
	50	Num	67
	band	NoC	67
	items	NoC	67
	justice	NoC	67
	play	NoC	67
	animal	NoC	67
	internal	Adj	67
	suggests	Verb	67
	excellent	Adj	67
	face	Verb	67
	rich	Adj	67
	assessment	NoC	67
	save	Verb	67
	EC	NoP	67		
	phone	NoC	67
	fairly	Adv	67
	football	NoC	67
	watched	Verb	67
	E / e	Lett	67
	telephone	NoC	67
	steps	NoC	67
	decide	Verb	67
	South	NoP-	67
	traffic	NoC	67
	in particular	Adv	67
	watch	Verb	67
	coffee	NoC	67
	deal	Verb	67
	sources	NoC	67
	past	Prep	67
	buildings	NoC	66
	increasingly	Adv	66
	relief	NoC	66
	distance	NoC	66
	introduction	NoC	66
	forty	Num	66
	administration	NoC	66
	no	NoC	66
	safe	Adj	66
	applied	Verb	66
	sight	NoC	66
	Mark	NoP	66
	island	NoC	66
	potential	Adj	66
	banks	NoC	66
	housing	NoC	66
	meaning	NoC	66
	existence	NoC	66
	claim	NoC	66
	northern	Adj	66
	enjoy	Verb	66
	reduced	Verb	66
	twelve	Num	66
	equally	Adv	66
	in front of	Prep	66
	religious	Adj	66
	walk	Verb	66
	very	Adj	65
	apart from	Prep	65
	watching	Verb	65
	cultural	Adj	65
	famous	Adj	65
	latest	Adj	65
	users	NoC	65
	TV	NoC	65		
	cabinet	NoC	65
	legs	NoC	65
	institutions	NoC	65
	Japan	NoP	65
	measures	NoC	65
	reality	NoC	65
	proper	Adj	65
	24	Num	65
	video	NoC	65
	worse	Adj	65
	lose	Verb	65
	argued	Verb	65
	train	NoC	65
	spirit	NoC	65
	programmes	NoC	65
	accounts	NoC	65
	trial	NoC	65
	target	NoC	65
	fear	NoC	65
	joint	Adj	64
	doubt	NoC	64
	formal	Adj	64
	unemployment	NoC	64
	all right*	Adv	64
	prison	NoC	64
	accident	NoC	64
	concept	NoC	64
	limited	Adj	64
	elements	NoC	64
	strange	Adj	64
	served	Verb	64
	papers	NoC	64
	discovered	Verb	64
	conservative*	Adj	64
	rock	NoC	64
	cover	Verb	64
	usual	Adj	64
	tree	NoC	64
	smile	NoC	64
	unable	Adj	64
	warm	Adj	64
	surely	Adv	63
	organization	NoC	63
	battle	NoC	63
	proportion	NoC	63
	difficulty	NoC	63
	sides	NoC	63
	refused	Verb	63
	17	Num	63
	weekend	NoC	63
	construction	NoC	63
	picked	Verb	63
	distribution	NoC	63
	dinner	NoC	63
	wine	NoC	63
	while	NoC	63
	works	Verb	63
	obtained	Verb	63
	exercise	NoC	63
	writing	Verb	63
	asking	Verb	63
	showing	Verb	63
	ahead	Adv	63
	rural	Adj	63
	lovely	Adj	63
	applications	NoC	63
	twice	Adv	63
	factor	NoC	63
	path	NoC	62
	games	NoC	62
	funds	NoC	62
	whereas	Conj	62
	nobody	Pron	62
	shape	NoC	62
	initial	Adj	62
	substantial	Adj	62
	referred	Verb	62
	tend	Verb	62
	seat	NoC	62
	improve	Verb	62
	onto	Prep	62
	Christian	Adj	62
	thanks	NoC	62
	aircraft	NoC	62
	light	Adj	62
	contact	NoC	62
	quiet	Adj	62
	rain	NoC	62
	background	NoC	62
	identified	Verb	62
	contrast	NoC	62
	officials	NoC	62
	strategy	NoC	62
	average	Adj	62
	master	NoC	62
	forget	Verb	62
	leading	Adj	61
	soft	Adj	61
	reasonable	Adj	61
	seeing	Verb	61
	pound	NoC	61
	grounds	NoC	61
	raise	Verb	61
	immediate	Adj	61
	communication	NoC	61
	client	NoC	61
	Paris	NoP	61
	star	NoC	61
	fourth	Ord	61
	suitable	Adj	61
	determined	Verb	61
	ought	VMod	61
	detail	NoC	61
	everybody	Pron	61
	noted	Verb	61
	equal	Adj	61
	imagine	Verb	61
	appointed	Verb	61
	manner	NoC	61
	homes	NoC	61
	classes	NoC	61
	freedom	NoC	61
	operations	NoC	60
	detailed	Adj	60
	keeping	Verb	60
	selection	NoC	60
	requirements	NoC	60
	pair	NoC	60
	draw	Verb	60
	walls	NoC	60
	talks	NoC	60
	working	Adj	60
	call	NoC	60
	danger	NoC	60
	attitude	NoC	60
	user	NoC	60
	overall	Adj	60
	offer	NoC	60
	female	Adj	60
	relationships	NoC	60
	Edinburgh	NoP	60
	note	NoC	60
	afraid	Adj	60
	pick	Verb	60
	charges	NoC	60
	democratic	Adj	59
	elections	NoC	59
	entered	Verb	59
	X / x	Lett	59
	courts	NoC	59
	growing	Adj	59
	goal	NoC	59
	straight	Adv	59
	techniques	NoC	59
	sufficient	Adj	59
	middle	NoC	59
	agency	NoC	59
	scientific	Adj	59
	eastern	Adj	59
	crisis	NoC	59
	rose	Verb	59
	correct	Adj	59
	even though	Conj	59
	removed	Verb	59
	T / t	Lett	59
	prince	NoC	59
	theatre	NoC	59
	Irish	Adj	59
	laid	Verb	59
	act	Verb	59
	sort of	Adv	59
	expensive	Adj	59
	markets	NoC	59
	sign	NoC	59
	educational	Adj	59
	capacity	NoC	59
	fig.	NoC	59
	telling	Verb	58
	happens	Verb	58
	absolutely	Adv	58
	patterns	NoC	58
	whilst	Conj	58
	managers	NoC	58
	purposes	NoC	58
	employees	NoC	58
	1984	Num	58
	totally	Adv	58
	opportunities	NoC	58
	cause	Verb	58
	break	Verb	58
	will	NoC	58
	procedure	NoC	58
	feeling	Verb	58
	output	NoC	58
	mental	Adj	58
	frequently	Adv	58
	bridge	NoC	58
	dangerous	Adj	58
	either	DetP	58
	fingers	NoC	58
	recognition	NoC	58
	largest	Adj	58
	turning	Verb	58
	arrangements	NoC	58
	sites	NoC	58
	profits	NoC	58
	quick	Adj	58
	absence	NoC	58
	sentence	NoC	58
	beside	Prep	58
	pass	Verb	58
	fields	NoC	58
	critical	Adj	58
	pointed	Verb	58
	prove	Verb	57
	listen	Verb	57
	inc	Adj	57
	recorded	Verb	57
	cost	Verb	57
	signed	Verb	57
	hill	NoC	57
	dropped	Verb	57
	card	NoC	57
	tour	NoC	57
	understood	Verb	57
	notes	NoC	57
	track	NoC	57
	1983	Num	57
	partly	Adv	57
	replaced	Verb	57
	increased	Adj	57
	weather	NoC	57
	principles	NoC	57
	seriously	Adv	57
	familiar	Adj	57
	related	Verb	57
	package	NoC	57
	elsewhere	Adv	57
	teaching	NoC	57
	bottom	NoC	57
	necessarily	Adv	57
	commitment	NoC	57
	player	NoC	57
	double	Adj	57
	birds	NoC	57
	properly	Adv	57
	1993	Num	57
	Jack	NoP	57
	threat	NoC	57
	40	Num	57
	notice	NoC	56
	unlikely	Adj	56
	admitted	Verb	56
	1981	Num	56
	replied	Verb	56
	silence	NoC	56
	route	NoC	56
	file	NoC	56
	liked	Verb	56
	supported	Verb	56
	issued	Verb	56
	21	Num	56
	perfect	Adj	56
	victory	NoC	56
	discuss	Verb	56
	widely	Adv	56
	occur	Verb	56
	second	NoC	56
	violence	NoC	56
	efforts	NoC	56
	element	NoC	56
	neck	NoC	56
	carrying	Verb	56
	conflict	NoC	56
	pieces	NoC	56
	Darlington	NoP	56
	under	Adv	56
	profit	NoC	56
	reaction	NoC	56
	colleagues	NoC	56
	historical	Adj	56
	standard	NoC	56
	end	Verb	55
	Friday	NoP	55
	finance	NoC	55
	hope	NoC	55
	pp.	NoC	55		
	rooms	NoC	55
	projects	NoC	55
	closely	Adv	55
	Jesus	NoP	55
	fund	NoC	55
	daily	Adj	55
	below	Prep	55
	cell	NoC	55
	Liverpool	NoP	55
	Tom	NoP	55
	southern	Adj	55
	expenditure	NoC	55
	increasing	Adj	55
	discipline	NoC	55
	completed	Verb	55
	occurred	Verb	55
	individual	NoC	55
	spring	NoC	55
	audience	NoC	55
	lead	NoC	55		
	thousands	Num	55
	grow	Verb	55
	conversation	NoC	55
	tiny	Adj	55
	congress	NoC	55
	emphasis	NoC	55
	finding	Verb	55
	exist	Verb	54
	check	Verb	54
	alone	Adj	54
	consideration	NoC	54
	speaking	Verb	54
	learning	NoC	54
	defined	Verb	54
	seek	Verb	54
	1979	Num	54
	appearance	NoC	54
	maintain	Verb	54
	option	NoC	54
	dry	Adj	54
	bright	Adj	54
	urban	Adj	54
	pictures	NoC	54
	estate	NoC	54
	debt	NoC	54
	v.	Prep	54
	youth	NoC	54
	neither	Adv	54
	affected	Verb	54
	married	Adj	54
	feature	NoC	54
	payment	NoC	54
	exhibition	NoC	54
	liberal*	Adj	54
	supposed	Adj	54
	assembly	NoC	54
	reform	NoC	54
	empty	Adj	54
	boat	NoC	54
	suffered	Verb	54
	as though	Conj	54
	bus	NoC	54
	hell	NoC	54
	remembered	Verb	54
	driver	NoC	54
	lunch	NoC	54
	flowers	NoC	54
	heat	NoC	54
	processes	NoC	54
	upper	Adj	54
	volume	NoC	54
	share	Verb	54
	captain	NoC	54
	murder	NoC	54
	North	NoP	54
	fifteen	Num	54
	represented	Verb	54
	meetings	NoC	54
	contribution	NoC	54
	drugs	NoC	53
	die	Verb	53
	feelings	NoC	53
	I / i	Lett	53
	22	Num	53
	outside	Adv	53
	Ian	NoP	53
	arts	NoC	53
	leg	NoC	53
	serve	Verb	53
	19	Num	53
	dealing	Verb	53
	writing	NoC	53
	curriculum	NoC	53
	bag	NoC	53
	sought	Verb	53
	apparent	Adj	53
	branch	NoC	53
	R / r	Lett	53
	beginning	Verb	53
	noticed	Verb	53
	procedures	NoC	53
	models	NoC	53
	Martin	NoP	53
	enter	Verb	53
	revealed	Verb	53
	institute	NoC	53
	establish	Verb	53
	object	NoC	53
	occasion	NoC	53
	waste	NoC	53
	facts	NoC	53
	membership	NoC	53
	requires	Verb	53
	shook	Verb	53
	Monday	NoP	53
	claims	NoC	53
	control	Verb	53
	prepared	Adj	53
	younger	Adj	53
	faith	NoC	52
	shops	NoC	52
	challenge	NoC	52
	answer	Verb	52
	Russian	Adj	52
	moral	Adj	52
	pleasure	NoC	52
	orders	NoC	52
	Alan	NoP	52
	heads	NoC	52
	bloody	Adj	52
	careful	Adj	52
	filled	Verb	52
	Corp	NoC	52		
	literature	NoC	52
	birth	NoC	52
	1980	Num	52
	leading	Verb	52
	code	NoC	52
	centres	NoC	52
	broke	Verb	52
	prepared	Verb	52
	that	Adv	52
	professor	NoC	52
	1982	Num	52
	aye	Int	52
	wood	NoC	52
	gentleman	NoC	52
	flight	NoC	52
	entry	NoC	52
	pretty	Adv	52
	attractive	Adj	52
	wild	Adj	51
	investigation	NoC	51
	crown	NoC	51
	protect	Verb	51
	nodded	Verb	51
	greatest	Adj	51
	subject to	Prep	51
	functions	NoC	51
	encourage	Verb	51
	belief	NoC	51
	care	Verb	51
	developments	NoC	51
	description	NoC	51
	tradition	NoC	51
	Japanese	Adj	51
	thin	Adj	51
	adopted	Verb	51
	vital	Adj	51
	document	NoC	51
	conclusion	NoC	51
	hoped	Verb	51
	Italy	NoP	51
	enjoyed	Verb	51
	engineering	NoC	51
	coal	NoC	51
	transfer	NoC	51
	address	NoC	51
	breath	NoC	51
	along with	Prep	51
	Ltd	Adj	51
	alternative	Adj	51
	total	NoC	51
	schemes	NoC	51
	31	Num	51
	copy	NoC	51
	desire	NoC	51
	search	NoC	51
	effectively	Adv	51
	organisations	NoC	51
	demands	NoC	51
	pushed	Verb	50
	visit	Verb	50
	V / v	Lett	50
	etc	Adv	50
	planning	Verb	50
	farmers	NoC	50
	ancient	Adj	50
	released	Verb	50
	opening	NoC	50
	lips	NoC	50
	iii	Num	50
	treaty	NoC	50
	newspaper	NoC	50
	aim	NoC	50
	drug	NoC	50
	identify	Verb	50
	engine	NoC	50
	Manchester	NoP	50
	USA	NoP	50
	tests	NoC	50
	owner	NoC	50
	sky	NoC	50
	Tony	NoP	50
	wearing	Verb	50
	depends	Verb	50
	28	Num	50
	elderly	Adj	50
	ministry	NoC	50
	Australia	NoP	50
	busy	Adj	50
	inside	Adv	50
	anybody	Pron	50	
	reading	Verb	49
	external	Adj	49
	capable	Adj	49
	marketing	NoC	49
	streets	NoC	49
	partner	NoC	49
	respect	NoC	49
	shot	Verb	49
	institution	NoC	49
	generation	NoC	49
	acid	NoC	49
	realised	Verb	49
	chosen	Verb	49
	wider	Adj	49
	his*	Pron	49
	narrow	Adj	49
	horses	NoC	49
	broad	Adj	49
	ordered	Verb	49
	wonderful	Adj	49
	and so on	Adv	49
	key	NoC	49
	contained	Verb	49
	laughed	Verb	49
	bringing	Verb	49
	clients	NoC	49
	e.g.	Adv	49
	typical	Adj	49
	drink	NoC	49
	Stephen	NoP	49
	employed	Verb	49
	atmosphere	NoC	49
	slow	Adj	48
	wondered	Verb	48
	clean	Adj	48
	actions	NoC	48
	entire	Adj	48
	troops	NoC	48
	Leeds	NoP	48
	vote	NoC	48
	definition	NoC	48
	welfare	NoC	48
	reduction	NoC	48
	row	NoC	48
	walking	Verb	48
	laws	NoC	48
	visitors	NoC	48
	release	NoC	48
	meanwhile	Adv	48
	confirmed	Verb	48
	examination	NoC	48
	doors	NoC	48
	leadership	NoC	48
	attitudes	NoC	48
	East	NoP-	48
	enable	Verb	48
	beneath	Prep	48
	journey	NoC	48
	milk	NoC	48
	stated	Verb	48
	hence	Adv	48
	IBM	NoP	48		
	23	Num	48
	machines	NoC	48
	affect	Verb	48
	grey	Adj	48
	screen	NoC	48
	criticism	NoC	48
	surprise	NoC	48
	reading	NoC	48
	nineteen	Num	48
	stories	NoC	48
	billion	NoC	48
	constant	Adj	47
	teeth	NoC	47
	brain	NoC	47
	explanation	NoC	47
	brief	Adj	47
	signs	NoC	47
	married	Verb	47
	highest	Adj	47
	cover	NoC	47
	starting	Verb	47
	knowing	Verb	47
	claim	Verb	47
	creation	NoC	47
	castle	NoC	47
	governments	NoC	47
	goals	NoC	47
	intention	NoC	47
	India	NoP	47
	vast	Adj	47
	flat	NoC	47
	guide	NoC	47
	drive	NoC	47
	surprised	Adj	47
	Christ	NoP	47
	easier	Adj	47
	ideal	Adj	47
	shut	Verb	47
	readers	NoC	47
	run	NoC	47
	Bill	NoP	47
	magazine	NoC	47
	bound	Verb	47
	terrible	Adj	47
	thoughts	NoC	47
	kinds	NoC	47
	academic	Adj	47
	worry	Verb	47
	minor	Adj	47
	seats	NoC	47
	customer	NoC	47
	significance	NoC	47
	measure	NoC	47
	pleased	Adj	47
	unfortunately	Adv	47
	o'clock	Adv	47
	revolution	NoC	47
	attempts	NoC	47
	noise	NoC	47
	charged	Verb	46
	rare	Adj	46
	biggest	Adj	46
	rather than	Conj	46
	somewhat	Adv	46
	in relation to	Prep	46
	M / m	Lett	46
	sections	NoC	46
	stared	Verb	46
	seeking	Verb	46
	paying	Verb	46
	meeting	Verb	46
	encouraged	Verb	46
	thick	Adj	46
	Jones	NoP	46
	loved	Verb	46
	metal	NoC	46
	grand	Adj	46
	plenty	Pron	46
	note	Verb	46
	phase	NoC	46
	coast	NoC	46
	injury	NoC	46
	China	NoP	46
	granted	Verb	46
	motion	NoC	46
	observed	Verb	46
	technique	NoC	46
	ill	Adj	46
	drew	Verb	46
	potential	NoC	46
	factory	NoC	46
	lying	Verb	46
	severe	Adj	46
	mine	Pron	46
	lights	NoC	46
	wonder	Verb	46
	Harry	NoP	46
	spread	Verb	46
	contains	Verb	46
	strongly	Adv	46
	offers	Verb	46
	afterwards	Adv	46
	committed	Verb	46
	tape	NoC	46
	shoulder	NoC	46
	bear	Verb	46
	corporate	Adj	46
	obtain	Verb	46
	i.e.	Adv	46		
	kill	Verb	46
	that is	Adv	46
	worst	Adj	46
	learned	Verb	46
	settlement	NoC	46
	ooh	Int	46
	grew	Verb	46
	represent	Verb	46
	rapidly	Adv	46
	tall	Adj	46
	hole	NoC	46
	living	NoC	46
	H / h	Lett	45
	adult	NoC	45
	iron	NoC	45
	amongst	Prep	45
	faced	Verb	45
	negative	Adj	45
	afford	Verb	45
	lots	Pron	45
	index	NoC	45
	permanent	Adj	45
	beat	Verb	45
	O / o	Lett	45
	as soon as	Conj	45
	trip	NoC	45
	contain	Verb	45
	fundamental	Adj	45
	doctors	NoC	45
	desk	NoC	45
	ourselves	Pron	45
	sport	NoC	45
	unions	NoC	45
	implications	NoC	45
	fashion	NoC	45
	content	NoC	45
	similarly	Adv	45
	elected	Verb	45
	proposed	Verb	45
	judge	NoC	45
	pool	NoC	45
	inflation	NoC	45
	brown	Adj	45
	Brian	NoP	45
	originally	Adv	45
	funny	Adj	45
	via	Prep	45
	practices	NoC	45
	somehow	Adv	45
	payments	NoC	45
	odd	Adj	45
	Andrew	NoP	45
	pension	NoC	45
	pay	NoC	45
	crucial	Adj	45
	fit	Verb	45
	inner	Adj	45
	appointment	NoC	45
	used	Adj	45
	flow	NoC	45
	launched	Verb	45
	Chris	NoP	45
	in addition	Adv	45
	independence	NoC	45
	Spain	NoP	45
	objects	NoC	45
	setting	Verb	45
	little	Adv	45
	least	Adv	45
	colours	NoC	45
	palace	NoC	45
	perfectly	Adv	44
	combination	NoC	44
	contracts	NoC	44
	criminal	Adj	44
	consequences	NoC	44
	at last	Adv	44
	pages	NoC	44
	contemporary	Adj	44
	UN	NoP	44			
	talked	Verb	44
	session	NoC	44
	sharp	Adj	44
	structures	NoC	44
	planned	Verb	44
	drive	Verb	44
	Wednesday	NoP	44
	religion	NoC	44
	Kingdom	NoP-	44
	falling	Verb	44
	sample	NoC	44
	virtually	Adv	44
	fast	Adv	44
	sick	Adj	44
	movements	NoC	44
	dogs	NoC	44
	Anne	NoP	44
	Yorkshire	NoP	44
	Roman	Adj	44
	accommodation	NoC	44
	nation	NoC	44
	temperature	NoC	44
	massive	Adj	44
	26	Num	44
	societies	NoC	44
	consumer	NoC	44
	cities	NoC	44
	offices	NoC	44
	documents	NoC	44
	valley	NoC	44
	indicated	Verb	44
	breakfast	NoC	44
	stayed	Verb	44
	kids	NoC	44
	display	NoC	44
	named	Verb	44
	bedroom	NoC	44
	sports	NoC	44
	aspect	NoC	43
	unique	Adj	43
	Steve	NoP	43
	sixty	Num	43
	author	NoC	43
	lane	NoC	43
	objectives	NoC	43
	secondary	Adj	43
	wear	Verb	43
	republic	NoC	43
	agent	NoC	43
	interpretation	NoC	43
	assistance	NoC	43
	directors	NoC	43
	badly	Adv	43
	alright*	Adv	43
	parliamentary	Adj	43
	African	Adj	43
	Joe	NoP	43
	unknown	Adj	43
	industries	NoC	43
	assets	NoC	43
	selling	Verb	43
	moreover	Adv	43
	27	Num	43
	Northern	NoP-	43
	nose	NoC	43
	Jim	NoP	43
	Russia	NoP	43
	subsequent	Adj	43
	place	Verb	43
	describe	Verb	43
	declared	Verb	43
	gallery	NoC	43
	allowing	Verb	43
	ship	NoC	43
	other than	Prep	43
	visited	Verb	43
	cross	NoC	43
	lie Verb	43
	grown	Verb	43
	crowd	NoC	43
	recognised	Verb	43
	N / n	Lett	43
	interview	NoC	43
	broken	Verb	43
	Simon	NoP	43
	argue	Verb	43
	BBC	NoP	43
	naturally	Adv	43
	thinking	NoC	43
	general	NoC	43
	Mike	NoP	43
	meal	NoC	43
	catch	Verb	43
	representatives	NoC	43
	proceedings	NoC	43
	tears	NoC	43
	alive	Adj	43
	involving	Verb	43
	shoulders	NoC	42
	employers	NoC	42
	begun	Verb	42
	departments	NoC	42
	vision	NoC	42
	yours	Pron	42
	unix	NoC	42
	beauty	NoC	42
	guilty	Adj	42
	proposal	NoC	42
	impression	NoC	42
	square	NoC	42
	angry	Adj	42
	regulations	NoC	42
	regions	NoC	42
	vehicle	NoC	42
	Jane	NoP	42
	democracy	NoC	42
	enterprise	NoC	42
	sequence	NoC	42
	offering	Verb	42
	Graham	NoP	42
	enormous	Adj	42
	invited	Verb	42
	cancer	NoC	42
	sheet	NoC	42
	struck	Verb	42
	Glasgow	NoP	42
	rarely	Adv	42
	involve	Verb	42
	involvement	NoC	42
	improvement	NoC	42
	ninety	Num	42
	motor	NoC	42
	shock	NoC	42
	tone	NoC	42
	significantly	Adv	42
	contact	Verb	42
	manufacturing	NoC	42
	J.	NoP	42
	close	Adv	42
	seconds	NoC	42
	~n~*	Neg	42
	dress	NoC	42
	in general	Adv	42
	assumed	Verb	42
	well	Adj	42
	communist	Adj	42
	quietly	Adv	41
	grass	NoC	41
	at first	Adv	41
	nations	NoC	41
	provisions	NoC	41
	communities	NoC	41
	roof	NoC	41
	yellow	Adj	41
	indicate	Verb	41
	distinction	NoC	41
	present	NoC	41
	statements	NoC	41
	comments	NoC	41
	allows	Verb	41
	60	Num	41
	late	Adv	41
	pollution	NoC	41
	fruit	NoC	41
	acting	Verb	41
	involves	Verb	41
	unusual	Adj	41
	assume	Verb	41
	towns	NoC	41
	lucky	Adj	41
	fuel	NoC	41
	spot	NoC	41
	properties	NoC	41
	touch	NoC	41
	fall	NoC	41
	Major	NoP	41
	bottle	NoC	41
	except	Conj	41
	anywhere	Adv	41
	net	Adj	41
	buying	Verb	41
	long-term	Adj	41
	soil	NoC	41
	sum	NoC	41
	stages	NoC	41
	decline	NoC	41
	missed	Verb	41
	reader	NoC	41
	extensive	Adj	41
	manage	Verb	41
	calling	Verb	41
	talk	NoC	41
	heavily	Adv	41
	containing	Verb	41
	plate	NoC	41
	advertising	NoC	41
	revenue	NoC	41
	remaining	Adj	41
	glad	Adj	41
	diet	NoC	41
	agricultural	Adj	41
	artist	NoC	41
	plastic	NoC	41
	G / g	Lett	40
	artists	NoC	40
	gently	Adv	40
	Bob	NoP	40
	alright*	Adj	40
	location	NoC	40
	ring	NoC	40
	ice	NoC	40
	operate	Verb	40
	a lot	Adv	40
	lies	Verb	40
	candidates	NoC	40
	Italian	Adj	40
	pull	Verb	40
	passage	NoC	40
	principal	Adj	40
	cope	Verb	40
	linked	Verb	40
	29	Num	40
	tired	Adj	40
	periods	NoC	40
	firmly	Adv	40
	occasionally	Adv	40
	identity	NoC	40
	persons	NoC	40
	limited	Verb	40
	warned	Verb	40
	efficient	Adj	40
	runs	Verb	40
	hundreds	NoC	40
	maintenance	NoC	40
	divided	Verb	40
	unlike	Prep	40
	establishment	NoC	40
	channel	NoC	40
	producing	Verb	40
	fight	Verb	40
	happening	Verb	40
	song	NoC	40
	map	NoC	40
	expert	NoC	40
	formation	NoC	40
	comfortable	Adj	40
	Co / CO	NoC	40			
	border	NoC	40
	constitution	NoC	40
	weapons	NoC	40
	emergency	NoC	40
	Chinese	Adj	40
	waited	Verb	40
	continues	Verb	40
	arranged	Verb	40
	less than*	Adv	40
	link	NoC	40
	Wilson	NoP	40
	spokesman	NoC	40
	extended	Verb	40
	rail	NoC	40
	Philip	NoP	40
	candidate	NoC	40
	believes	Verb	40
	funding	NoC	39
	promised	Verb	39
	positions	NoC	39
	mostly	Adv	39
	household	NoC	39
	remove	Verb	39
	performed	Verb	39
	cat	NoC	39
	sleep	NoC	39
	abroad	Adv	39
	teams	NoC	39
	mountain	NoC	39
	program	NoC	39
	countryside	NoC	39
	stars	NoC	39
	victim	NoC	39
	studied	Verb	39
	relative	Adj	39
	criteria	NoC	39
	conventional	Adj	39
	parish	NoC	39
	framework	NoC	39
	willing	Adj	39
	strike	NoC	39
	cheap	Adj	39
	ref	NoC	39		
	sudden	Adj	39
	approval	NoC	39
	concentration	NoC	39
	partners	NoC	39
	autumn	NoC	39
	maintained	Verb	39
	warning	NoC	39
	cards	NoC	39
	roads	NoC	39
	approved	Verb	39
	lake	NoC	39
	starts	Verb	39
	determine	Verb	39
	liability	NoC	39
	editor	NoC	39
	realise	Verb	39
	thinks	Verb	39
	helping	Verb	39
	longer	Adj	39
	proposed	Adj	39
	voluntary	Adj	39
	settled	Verb	39
	grant	NoC	39
	characters	NoC	39
	valuable	Adj	39
	situations	NoC	39
	deputy	NoC	39
	walk	NoC	39
	regularly	Adv	39
	occasions	NoC	39
	trading	NoC	39
	rejected	Verb	39
	agriculture	NoC	39
	premises	NoC	39
	dramatic	Adj	39
	fill	Verb	39
	theme	NoC	39
	silver	NoC	39
	golden	Adj	39
	duties	NoC	39
	friendly	Adj	39
	arguments	NoC	38
	F / f	Lett	38
	accused	Verb	38
	driving	Verb	38
	losses	NoC	38
	error	NoC	38
	reflected	Verb	38
	dream	NoC	38
	shortly	Adv	38
	wealth	NoC	38
	working	NoC	38
	temporary	Adj	38
	federal	Adj	38
	stress	NoC	38
	painting	NoC	38
	request	NoC	38
	initially	Adv	38
	reflect	Verb	38
	lifted	Verb	38
	eighty	Num	38
	hello	Int	38
	pub	NoC	38
	recovery	NoC	38
	loan	NoC	38
	electricity	NoC	38
	1980s	Num	38
	chest	NoC	38
	Margaret	NoP	38
	refer	Verb	38
	taught	Verb	38
	silent	Adj	38
	Brown	NoP	38
	beach	NoC	38
	Indian	Adj	38
	eleven	Num	38
	answered	Verb	38
	learning	Verb	38
	recession	NoC	38
	focus	NoC	38
	facing	Verb	38
	video-taped	Adj	38
	height	NoC	38
	clubs	NoC	38
	item	NoC	38
	characteristics	NoC	38
	emerged	Verb	38
